Run,Plate,ID,first_axis_polarisation,second_axis_polarisation
RR,2,G4,0.01378191233892358,0.014850259717750017
RR,2,G5,0.013348471403335394,0.009447704477532662
RR,2,G6,0.036914682106266646,0.02485362643967648
RR,2,G7,0.03328601731033378,0.002845367637915816
RR,2,G8,0.008497331918036524,0.00551124342238585
RR,2,G9,0.008112020742982567,0.001547561358981192
RR,2,G10,0.0024706246767491084,0.007554128706625029
RR,2,G11,0.021688085294392957,0.019549344362817935
RR,2,G12,0.029586561655674658,0.0037905082972665032
RR,2,H1,0.0006771594274360353,0.016511821365969712
RR,2,H2,0.014295904865273433,0.0007260518028674008
RR,2,H3,0.016517843885406145,0.003933812711399346
RR,2,H4,0.007561363957342067,0.03162873905455184
RR,2,H5,0.0023836045134982714,0.02739182278754132
RR,2,H6,0.005441992625833489,0.0012052577799504592
RR,2,H7,0.0009156172879910189,0.016869477093062656
RR,2,H8,0.03216577335391859,0.011718892601271468
RR,2,H9,0.024552386008527244,0.013110072032785651
RR,2,H10,0.005162227508265622,0.017551753468296738
RR,2,H11,0.010652734846690754,0.0048438731862858846
RR,2,H12,0.02819842246011343,0.006327771087727352
RR,3,A1,0.006574578088239447,0.006689055907006168
RR,3,A2,0.004568267957385538,0.0052268232033260385
RR,3,A3,0.003705326398375064,0.0021780639792941276
RR,3,A4,0.01628095746841529,0.019161353221542936
RR,3,A5,0.02067622977863902,0.0011299357791246655
RR,3,A6,0.00902981654482741,0.0011512789443848784
RR,3,A7,0.021823147771428787,0.017480250504193877
RR,3,A8,0.0038729582094492224,0.0013757674201457053
RR,3,A9,0.029203509018779245,0.018706102196609366
RR,3,A10,0.02976793663585877,0.018201372113286613
RR,3,A11,0.001262165407630496,0.014679289756691445
RR,3,A12,0.030728801077892737,0.009215372501477583
RR,3,B1,0.006393843073660081,0.005701439439129642
RR,3,B2,0.007470041759093879,0.016457000582159053
RR,3,B3,0.009652470244177898,0.009931046194833289
RR,3,B4,0.009016085691104462,0.021335915391305575
RR,3,B5,0.01893582039489768,0.0017628107473864998
RR,3,B6,0.04352483058321305,0.012642510220675075
RR,3,B7,0.0006811177594327292,0.007033899588289464
RR,3,B8,0.002666764595084562,0.014310281743448172
RR,3,B9,0.009359222384360546,0.00553480457868121
RR,3,B10,0.007847075151407848,0.018628966576991327
RR,3,B11,0.024214903126637283,0.001600039320476543
RR,3,B12,0.01740685767679127,0.012048901685985262
RR,3,C1,0.04018720140989336,0.022194669645396545
RR,3,C2,0.0074882416566037936,0.0187169439673881
RR,3,C3,0.0009514958870963263,0.0022877700465705523
RR,3,C4,0.009507474956796946,0.00046448230613202403
RR,3,C5,0.024802938701034154,0.02122249782182245
RR,3,C6,0.005249743993124412,0.0021980860024803446
