Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio
RR,2,B6,48783.53026245999,835.1397453151056,264.9107962367545,234.99605636477108,0.4616230672807025,266.4978048765881,0.9836915104404816,0.8870761769737455
RR,2,B7,47695.08459189999,818.3676267443321,254.36073797806918,238.99338020262093,0.34231734392282165,264.0616419896119,0.9842458274840119,0.9395843953842703
RR,2,B8,48927.14462176999,830.6990108265261,265.5630535268792,234.87234522065526,0.4666699250323245,273.0679166138893,0.9852359208523592,0.884431558160565
RR,2,B9,47226.448261519996,819.7018108265261,248.90288025944932,241.8246941482892,0.2367834246815293,254.72231116680769,0.9840919829894471,0.9715624580005583
RR,2,B10,49274.84254430999,828.0306426621379,260.71081625954264,241.45772884858783,0.37715154821176666,263.60325103186796,0.9871290127195639,0.9261515586994751
RR,2,B11,51036.00810847999,843.8593506210409,260.0375482625448,250.5014668661867,0.2683263852651817,270.06187916477586,0.9864134404674946,0.9633280598895275
RR,2,B12,51096.47731239999,852.9697293972997,267.3417629301528,244.57065347607667,0.4038528197786095,274.66869231983827,0.9825581395348837,0.9148239721153277
RR,2,C1,52048.86727413999,859.5261949087203,269.3780537428316,246.25487017705188,0.4053516289201559,275.39698440008374,0.983573775174975,0.9141608485008402
RR,2,C2,47778.229747289995,830.031918785429,265.3562892330651,230.11202097978156,0.49799250328255196,270.0758730958765,0.9827425373134329,0.8671813343669117
RR,2,C3,49992.91434085999,842.3633028676232,267.39314372113364,238.65878541463127,0.45097038885486235,279.4295252146773,0.9848123883263847,0.892538911407281
RR,2,C4,44528.01003658999,794.7627240913644,252.16770144612204,225.58750995038298,0.44688143144664805,256.49657671197093,0.9826522101751459,0.8945931959433823
RR,2,C5,47838.69895120999,821.3123134794937,254.72780764972677,239.62213672473422,0.3392430012536252,262.74161247349076,0.985518530052943,0.940698775432621
RR,2,C6,55956.689577469995,889.5731081735585,281.3698569129534,253.63861069254767,0.4328998661661352,285.30528758999543,0.9849654071314529,0.9014420147038533
RR,2,C7,47611.939436509994,824.8096373562024,263.21361693541,230.48820623767844,0.48291040748757935,267.4886643174622,0.9836039975015616,0.8756697655738607
RR,2,C8,43326.18460867999,788.5970320502673,260.08808993364954,213.7867766337683,0.5695187505284024,261.40045988788927,0.9826847248414196,0.821978340831781
RR,2,C9,49894.65188448999,836.1976108265261,269.17662805323755,236.9391687012795,0.47453472865470364,274.22803234718725,0.9853709508881923,0.8802367813836268
RR,2,C10,48745.737010009994,823.199134703235,256.79009609284424,242.1448078013231,0.33288378141086616,264.6335141093244,0.9845801526717557,0.942967861633472
RR,2,C11,48012.54791247999,825.4767293972998,253.750573378065,241.56953402509365,0.3061104248260714,263.1584233677121,0.9841958475364115,0.9519960124983728
RR,2,C12,53409.42436233999,865.3011134794938,273.26542830223775,249.10119061278508,0.4111398436816013,276.64297607430774,0.9859076322031534,0.9115722839892997
RR,2,D1,51451.733885429996,857.5249187854291,268.6223226147977,244.55211776567663,0.41374265976135916,269.85188311490435,0.9842394447657605,0.910393877117809
RR,2,D2,52373.88924520999,855.9144161324614,269.65827166552737,247.46063468186853,0.39731488325722025,273.45516871613523,0.9868964534966529,0.9176823434840083
RR,2,D3,44951.29446402999,799.5942320502674,253.7255841235434,226.45455294597284,0.45101253723935797,257.92185437161,0.9837882547559967,0.8925176139734816
RR,2,D4,47619.49808699999,832.7002869498173,250.0674229573122,244.74120433368478,0.2052915186629905,268.09551937585604,0.9808500700607193,0.9787008697069004
RR,2,D5,49184.138738429996,832.9766055205909,261.75549099925746,239.95347195283114,0.3995567632422896,269.85188311490435,0.9851627554882665,0.9167084558066131
RR,2,D6,49811.506729099994,842.6396214383967,267.4858653100719,237.5768102639899,0.45948691246353435,275.273447979005,0.9827020578586341,0.8881845401011708
RR,2,D7,54187.96536280999,876.8509506210409,282.02215324950987,245.42558348983084,0.49263660952382043,292.5389561200012,0.9851587192524391,0.8702351239503465
RR,2,D8,50257.467108009994,846.2514002146556,264.0035098704523,243.18832260237366,0.3891944030548896,276.75224554675253,0.9856211088052179,0.9211556419144096
RR,2,D9,48299.776631099994,823.8662267443319,258.97207216190446,238.11446286620205,0.3931835429995513,266.0578167219486,0.9835308603971064,0.9194600053913818
RR,2,D10,52600.64875990999,856.4670532740084,271.3317200172621,247.21181077466935,0.4121733205332083,278.77956226771715,0.9861130792121298,0.911105457035918
RR,2,D11,46508.376464969995,814.0887559269762,257.13749054275127,231.1879609696295,0.4377780913806094,264.99030746821666,0.9836930455635492,0.8990830566233303
RR,2,D12,48972.49652470999,821.8649506210409,255.53334341806735,244.46282841540193,0.2911519309104893,264.99030746821666,0.9873514172508382,0.9566768279450975
RR,2,E1,51058.68405994999,850.139497561688,267.8895636866063,243.17241071420938,0.4195466058900794,274.44845077509547,0.9859874470880163,0.9077337965979422
RR,2,E2,46712.460028199996,807.3704267443321,255.3803063199551,233.29056914739655,0.4068329302854145,264.5049506822887,0.9870627695256349,0.913502581734383
RR,2,E3,48473.625592369994,819.9781293972998,254.32102173390592,243.08171566020604,0.2939961038167572,264.6335141093244,0.9849485486100445,0.955806617962319
RR,2,E4,46825.83978554999,812.316389602785,247.5354375842548,242.18644829978277,0.2067631969359548,260.89393948968996,0.9833333333333333,0.9783910161039008
RR,2,E5,49063.20033058999,828.1450975616879,260.959409841602,240.7537986047598,0.3858253885235861,270.7467311936009,0.9851267263621187,0.9225718235295417
RR,2,E6,51474.40983689999,851.0829081735585,258.87451119685306,253.5443665566463,0.2018797534985099,264.4192070037651,0.9833935018050541,0.9794103149994801
RR,2,E7,49728.36157370999,841.5817559269763,265.40082226427984,240.040467256357,0.4265900864064428,278.3861409516824,0.9828204362115327,0.9044450774810727
RR,2,E8,51965.72211874999,858.1920108265261,273.51868878262496,242.36112073612802,0.46352059533105616,280.0644856720144,0.9843928980526919,0.886086145757817
RR,2,E9,49811.506729099994,841.9725293972998,266.0693102251079,240.5891021908297,0.427035844172628,279.307772371787,0.9851995814023022,0.9042346972947736
RR,2,E10,49630.099117339996,839.6949347032349,270.5063438744378,233.89271829943158,0.5023785043281276,276.7385892221755,0.9842602308499475,0.8646478117644394
RR,2,E11,47543.911582099994,823.8662267443322,253.50181743338408,239.4767123742748,0.32800917128615636,257.672633207642,0.9834271419637274,0.9446745384269489
RR,2,E12,52177.364332469995,860.355150621041,271.9141503814941,244.85305707465244,0.4348989247931683,279.9700083603599,0.9841745081266039,0.9004792752827497
RR,2,F1,49070.75898107999,834.196334703235,260.0953576406936,240.39330543636254,0.3817862245128075,268.37730999324435,0.9824455205811138,0.9242506579777242
RR,2,F2,45865.89117331999,802.1481453151055,247.7800747099412,236.1990979934993,0.30214787979516605,253.4282012987702,0.984106389879987,0.9532610653621001
RR,2,F3,50831.92454524999,841.6962108265261,258.0029981833045,251.1470348188773,0.22899836386442968,264.004386645923,0.9854923798358733,0.9734268073909894
RR,2,F4,45397.25484293999,798.3745028676233,265.8021106098093,217.87150560610593,0.5728279880680203,268.37730999324435,0.9868550772264213,0.8196756041788386
RR,2,F5,41187.086520009994,761.3803506210409,236.11387771293218,222.92569555777385,0.3295308043109109,242.57801644965687,0.9816249324446046,0.9441448241716968
RR,2,F6,48571.888048739995,829.0885081735585,256.9219964042312,241.14773586863586,0.3449993620275109,266.24241640884344,0.9846766779037696,0.9386029193437501
RR,2,F7,47483.44237817999,815.4229400091702,262.3919879824462,231.11359494360315,0.47349749030512145,266.9087500780932,0.9855663633511139,0.8807951672635083
RR,2,F8,49342.87039871999,828.0306426621379,255.29888937989915,246.28495253816044,0.2633783658257517,263.301998272478,0.9861027190332327,0.9646926123978335
RR,2,F9,45941.47767821999,805.3691506210411,259.8050773484174,225.59968194501823,0.49596575236345586,266.80961435979026,0.9836543129956303,0.8683420826394118
RR,2,F10,48806.206213929996,832.9766055205907,257.1022897430315,242.14703369088684,0.3360854603813945,262.2376825668271,0.9836989640463132,0.9418314941220782
RR,2,F11,47672.408640429996,815.6992585799437,250.16470171710964,243.12973277766125,0.23548224594991146,257.92185437161,0.9868565169769989,0.9718786507802223
RR,2,F12,48896.91001980999,830.3082373562027,260.52097102195927,239.60908539579165,0.3925503662202222,271.4577013588121,0.985076899649764,0.9197305094321756
RR,2,G1,46667.10812525999,806.703334703235,247.9636537467777,240.65665698470647,0.2409723362293763,255.98035295274127,0.9854748603351955,0.9705319846208864
RR,2,G2,48670.150505109996,822.5320426621379,261.45521619807147,237.89435331901115,0.4148591040384231,264.21903021099746,0.9878797177048174,0.9098856652329658
RR,2,G3,51149.387865829995,844.2501240913643,273.4829198221312,238.52456051257724,0.4891966405306851,278.6575254389696,0.9865869660300335,0.8721735187985769
RR,2,G4,49955.12108840999,838.7515240913643,257.5727877548175,247.50285723850808,0.27687992717600485,265.75934636162845,0.9864179104477612,0.960904524875916
RR,2,G5,51587.78959424999,846.1369453151054,263.28109077709996,250.03971046980433,0.3131420517095949,270.7467311936009,0.9872703601909446,0.9497062995742976
RR,2,G6,47770.67109679999,824.5333187854292,256.1502945585923,238.26333292364967,0.3671289603564668,264.004386645923,0.9828926905132193,0.9301700524460997
RR,2,G7,52056.42592462999,862.470881643882,267.4812894393818,249.43283774997292,0.3611068844754672,283.8577358878916,0.9821734169994295,0.932524432915525
RR,2,G8,47861.37490267999,817.700534703235,253.3573870693278,240.8694915286774,0.3100803443451777,260.0233232482232,0.9859856742447836,0.950710355497812
RR,2,G9,45102.467473829995,798.9271400091702,254.36090524957766,225.93204957542792,0.4593909502072312,260.83598881383296,0.9835173891544421,0.8882341779439121
