,Accuracy,Classifier,Feature Set
49,0.6754385964912281,SVC,72h Selected Featurs
50,0.6659919028340081,RF,72h Selected Featurs
51,0.4817813765182186,RF,72h Selected Featurs
52,0.5256410256410257,RF,72h Selected Featurs
53,0.608974358974359,RF,72h Selected Featurs
54,0.45940170940170943,RF,72h Selected Featurs
55,0.6752136752136753,RF,72h Selected Featurs
56,0.6581196581196581,RF,72h Selected Featurs
57,0.7905982905982906,RF,72h Selected Featurs
58,0.7521367521367521,RF,72h Selected Featurs
59,0.5087719298245614,RF,72h Selected Featurs
60,0.6659919028340081,LDA,72h Selected Featurs
61,0.5728744939271255,LDA,72h Selected Featurs
62,0.6196581196581197,LDA,72h Selected Featurs
63,0.5982905982905983,LDA,72h Selected Featurs
64,0.5982905982905983,LDA,72h Selected Featurs
65,0.6752136752136753,LDA,72h Selected Featurs
66,0.7029914529914529,LDA,72h Selected Featurs
67,1.0,LDA,72h Selected Featurs
68,0.7136752136752136,LDA,72h Selected Featurs
69,0.6754385964912281,LDA,72h Selected Featurs
70,0.6275303643724697,XG Boost,72h Selected Featurs
71,0.5080971659919028,XG Boost,72h Selected Featurs
72,0.5811965811965812,XG Boost,72h Selected Featurs
73,0.6260683760683761,XG Boost,72h Selected Featurs
74,0.5705128205128205,XG Boost,72h Selected Featurs
75,0.6538461538461539,XG Boost,72h Selected Featurs
76,0.6645299145299145,XG Boost,72h Selected Featurs
77,0.8782051282051282,XG Boost,72h Selected Featurs
78,0.7029914529914529,XG Boost,72h Selected Featurs
79,0.6337719298245614,XG Boost,72h Selected Featurs
80,0.7550607287449393,SVC,96h All Features
81,0.714574898785425,SVC,96h All Features
82,0.7414529914529915,SVC,96h All Features
83,0.6858974358974359,SVC,96h All Features
84,0.7628205128205128,SVC,96h All Features
85,0.6517094017094017,SVC,96h All Features
86,0.6581196581196581,SVC,96h All Features
87,0.7350427350427351,SVC,96h All Features
88,0.7072649572649572,SVC,96h All Features
89,0.5657894736842105,SVC,96h All Features
90,0.7935222672064777,RF,96h All Features
91,0.688259109311741,RF,96h All Features
92,0.6858974358974359,RF,96h All Features
93,0.6196581196581197,RF,96h All Features
94,0.6858974358974359,RF,96h All Features
95,0.7350427350427351,RF,96h All Features
96,0.6965811965811965,RF,96h All Features
97,0.7457264957264957,RF,96h All Features
98,0.7243589743589745,RF,96h All Features
99,0.6074561403508771,RF,96h All Features
100,0.582995951417004,LDA,96h All Features
101,0.6497975708502024,LDA,96h All Features
102,0.5256410256410257,LDA,96h All Features
103,0.5363247863247864,LDA,96h All Features
104,0.6517094017094017,LDA,96h All Features
105,0.5534188034188035,LDA,96h All Features
106,0.641025641025641,LDA,96h All Features
107,0.49786324786324787,LDA,96h All Features
108,0.5192307692307692,LDA,96h All Features
109,0.4144736842105263,LDA,96h All Features
110,0.7550607287449393,XG Boost,96h All Features
111,0.688259109311741,XG Boost,96h All Features
112,0.6858974358974359,XG Boost,96h All Features
113,0.6688034188034189,XG Boost,96h All Features
114,0.7243589743589745,XG Boost,96h All Features
115,0.6965811965811965,XG Boost,96h All Features
116,0.7072649572649572,XG Boost,96h All Features
117,0.7564102564102564,XG Boost,96h All Features
118,0.6858974358974359,XG Boost,96h All Features
119,0.5767543859649122,XG Boost,96h All Features
120,0.728744939271255,SVC,96h Selected Featurs
121,0.8036437246963564,SVC,96h Selected Featurs
122,0.6752136752136753,SVC,96h Selected Featurs
123,0.5918803418803419,SVC,96h Selected Featurs
124,0.7628205128205128,SVC,96h Selected Featurs
125,0.6581196581196581,SVC,96h Selected Featurs
126,0.6303418803418803,SVC,96h Selected Featurs
127,0.7564102564102564,SVC,96h Selected Featurs
128,0.7905982905982906,SVC,96h Selected Featurs
129,0.6644736842105263,SVC,96h Selected Featurs
130,0.7408906882591093,RF,96h Selected Featurs
131,0.6761133603238867,RF,96h Selected Featurs
132,0.6858974358974359,RF,96h Selected Featurs
133,0.6196581196581197,RF,96h Selected Featurs
134,0.6474358974358975,RF,96h Selected Featurs
135,0.6965811965811965,RF,96h Selected Featurs
136,0.6965811965811965,RF,96h Selected Featurs
137,0.8504273504273505,RF,96h Selected Featurs
138,0.6965811965811965,RF,96h Selected Featurs
139,0.5701754385964912,RF,96h Selected Featurs
140,0.7408906882591093,LDA,96h Selected Featurs
141,0.8036437246963564,LDA,96h Selected Featurs
142,0.6752136752136753,LDA,96h Selected Featurs
143,0.5811965811965812,LDA,96h Selected Featurs
144,0.7243589743589745,LDA,96h Selected Featurs
145,0.5811965811965812,LDA,96h Selected Featurs
146,0.641025641025641,LDA,96h Selected Featurs
147,0.6517094017094017,LDA,96h Selected Featurs
148,0.8012820512820513,LDA,96h Selected Featurs
149,0.5548245614035088,LDA,96h Selected Featurs
150,0.7550607287449393,XG Boost,96h Selected Featurs
151,0.6761133603238867,XG Boost,96h Selected Featurs
152,0.7029914529914529,XG Boost,96h Selected Featurs
153,0.6858974358974359,XG Boost,96h Selected Featurs
154,0.6474358974358975,XG Boost,96h Selected Featurs
155,0.6581196581196581,XG Boost,96h Selected Featurs
156,0.6581196581196581,XG Boost,96h Selected Featurs
157,0.8226495726495726,XG Boost,96h Selected Featurs
158,0.7350427350427351,XG Boost,96h Selected Featurs
159,0.6491228070175439,XG Boost,96h Selected Featurs
160,0.7044534412955465,SVC,72h & 96h All Features
161,0.6234817813765182,SVC,72h & 96h All Features
162,0.6196581196581197,SVC,72h & 96h All Features
163,0.5149572649572649,SVC,72h & 96h All Features
164,0.7243589743589745,SVC,72h & 96h All Features
165,0.7841880341880342,SVC,72h & 96h All Features
166,0.6581196581196581,SVC,72h & 96h All Features
167,0.8397435897435898,SVC,72h & 96h All Features
168,0.6965811965811965,SVC,72h & 96h All Features
169,0.5657894736842105,SVC,72h & 96h All Features
170,0.7550607287449393,RF,72h & 96h All Features
171,0.6497975708502024,RF,72h & 96h All Features
172,0.7136752136752136,RF,72h & 96h All Features
173,0.6474358974358975,RF,72h & 96h All Features
174,0.7136752136752136,RF,72h & 96h All Features
175,0.7350427350427351,RF,72h & 96h All Features
176,0.6581196581196581,RF,72h & 96h All Features
177,0.7841880341880342,RF,72h & 96h All Features
178,0.829059829059829,RF,72h & 96h All Features
179,0.6074561403508771,RF,72h & 96h All Features
180,0.5060728744939271,LDA,72h & 96h All Features
181,0.6234817813765182,LDA,72h & 96h All Features
182,0.5021367521367521,LDA,72h & 96h All Features
183,0.6025641025641025,LDA,72h & 96h All Features
184,0.5747863247863247,LDA,72h & 96h All Features
185,0.40384615384615385,LDA,72h & 96h All Features
186,0.42521367521367526,LDA,72h & 96h All Features
187,0.4465811965811966,LDA,72h & 96h All Features
188,0.5299145299145299,LDA,72h & 96h All Features
189,0.618421052631579,LDA,72h & 96h All Features
190,0.7935222672064777,XG Boost,72h & 96h All Features
191,0.597165991902834,XG Boost,72h & 96h All Features
192,0.7521367521367521,XG Boost,72h & 96h All Features
193,0.6858974358974359,XG Boost,72h & 96h All Features
194,0.7799145299145299,XG Boost,72h & 96h All Features
