,original_names,plot_names
159,072h_str_BF_AreaShape_locoefa_coeff_45,072h str  LoCo EFA Coeff 45
160,072h_str_BF_AreaShape_locoefa_coeff_46,072h str  LoCo EFA Coeff 46
161,072h_str_BF_AreaShape_locoefa_coeff_47,072h str  LoCo EFA Coeff 47
162,072h_str_BF_AreaShape_locoefa_coeff_48,072h str  LoCo EFA Coeff 48
163,072h_str_BF_AreaShape_locoefa_coeff_49,072h str  LoCo EFA Coeff 49
164,072h_str_BF_AreaShape_locoefa_coeff_5,072h str  LoCo EFA Coeff 5
165,072h_str_BF_AreaShape_locoefa_coeff_50,072h str  LoCo EFA Coeff 50
166,072h_str_BF_AreaShape_locoefa_coeff_51,072h str  LoCo EFA Coeff 51
167,072h_str_BF_AreaShape_locoefa_coeff_6,072h str  LoCo EFA Coeff 6
168,072h_str_BF_AreaShape_locoefa_coeff_7,072h str  LoCo EFA Coeff 7
169,072h_str_BF_AreaShape_locoefa_coeff_8,072h str  LoCo EFA Coeff 8
170,072h_str_BF_AreaShape_locoefa_coeff_9,072h str  LoCo EFA Coeff 9
171,072h_str_BF_AreaShape_major_axis_length,072h str  Major Axis Length
172,072h_str_BF_AreaShape_minor_axis_length,072h str  Minor Axis Length
173,072h_str_BF_AreaShape_moments_hu_0,072h str  Moments Hu 0
174,072h_str_BF_AreaShape_moments_hu_1,072h str  Moments Hu 1
175,072h_str_BF_AreaShape_moments_hu_2,072h str  Moments Hu 2
176,072h_str_BF_AreaShape_moments_hu_3,072h str  Moments Hu 3
177,072h_str_BF_AreaShape_moments_hu_4,072h str  Moments Hu 4
178,072h_str_BF_AreaShape_moments_hu_5,072h str  Moments Hu 5
179,072h_str_BF_AreaShape_moments_hu_6,072h str  Moments Hu 6
180,072h_str_BF_AreaShape_orientation,072h str  Orientation
181,072h_str_BF_AreaShape_perimeter,072h str  Perimeter
182,096h_raw_BF_AreaShape_area,096h  Area
183,096h_raw_BF_AreaShape_aspect_ratio,096h  Aspect Ratio
184,096h_raw_BF_AreaShape_axis_major_length,096h  Axis Major Length
185,096h_raw_BF_AreaShape_axis_minor_length,096h  Axis Minor Length
186,096h_raw_BF_AreaShape_eccentricity,096h  Eccentricity
187,096h_raw_BF_AreaShape_feret_diameter_max,096h  Feret Diameter Max
188,096h_raw_BF_AreaShape_perimeter,096h  Perimeter
189,096h_raw_BF_AreaShape_solidity,096h  Solidity
190,096h_str_BF_AreaShape_area,096h str  Area
191,096h_str_BF_AreaShape_aspect_ratio,096h str  Aspect Ratio
192,096h_str_BF_AreaShape_eccentricity,096h str  Eccentricity
193,096h_str_BF_AreaShape_equivalent_diameter,096h str  Equivalent Diameter
194,096h_str_BF_AreaShape_extent,096h str  Extent
195,096h_str_BF_AreaShape_form_factor,096h str  Form Factor
196,096h_str_BF_AreaShape_inertia_tensor_0_0,096h str  Inertia Tensor 0 0
197,096h_str_BF_AreaShape_inertia_tensor_0_1,096h str  Inertia Tensor 0 1
198,096h_str_BF_AreaShape_inertia_tensor_1_0,096h str  Inertia Tensor 1 0
199,096h_str_BF_AreaShape_inertia_tensor_1_1,096h str  Inertia Tensor 1 1
200,096h_str_BF_AreaShape_inertia_tensor_eigvals_0,096h str  Inertia Tensor Eigvals 0
201,096h_str_BF_AreaShape_inertia_tensor_eigvals_1,096h str  Inertia Tensor Eigvals 1
202,096h_str_BF_AreaShape_locoefa_PC_1,096h str  LoCo EFA Pc 1
203,096h_str_BF_AreaShape_locoefa_PC_2,096h str  LoCo EFA Pc 2
204,096h_str_BF_AreaShape_locoefa_PC_3,096h str  LoCo EFA Pc 3
205,096h_str_BF_AreaShape_locoefa_PC_4,096h str  LoCo EFA Pc 4
